Project,Sample Year,Observation Date,District,Sub District,Location,ASLProjectType,Gear,Mesh,Period,Run,Sex Determination Method,Card No,Fish Num,Sex,Length,Length Type,Age Fresh,Age Salt,Total Age,Age Error,Aging Structure
George River Escapement,2017,7/8/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,6,2,male,663,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/8/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,6,3,male,610,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/8/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,6,4,male,753,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/8/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,6,5,male,635,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/8/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,6,6,female,816,Mid-eye to fork of tail,1,4,6,,scale
George River Escapement,2017,7/8/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,6,7,male,753,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/8/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,6,8,male,605,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/8/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,6,9,male,400,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/8/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,6,10,female,868,Mid-eye to fork of tail,1,4,6,,scale
George River Escapement,2017,7/8/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,7,1,male,652,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/8/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,7,2,male,678,Mid-eye to fork of tail,1,4,6,,scale
George River Escapement,2017,7/8/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,7,3,male,633,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/8/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,7,4,male,455,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/8/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,7,5,female,767,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/8/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,7,6,male,470,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,10,1,male,664,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,10,2,female,845,Mid-eye to fork of tail,1,4,6,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,10,3,male,627,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,10,4,male,640,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,10,5,male,622,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,10,6,male,594,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,10,7,female,833,Mid-eye to fork of tail,1,4,6,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,10,8,male,573,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,10,9,female,841,Mid-eye to fork of tail,1,4,6,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,10,10,male,800,Mid-eye to fork of tail,1,4,6,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,11,1,male,560,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,11,2,male,709,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,11,3,male,656,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,11,4,female,856,Mid-eye to fork of tail,1,4,6,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,11,5,male,553,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,11,6,male,532,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,11,7,female,731,Mid-eye to fork of tail,1,4,6,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,11,8,male,670,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,11,9,male,568,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,11,10,male,535,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,12,1,male,528,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,8,1,male,462,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,8,2,male,641,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,8,3,male,634,Mid-eye to fork of tail,1,4,6,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,8,4,male,518,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,8,5,female,725,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,8,6,male,728,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,8,7,male,512,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,8,8,female,837,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,8,9,male,640,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,8,10,male,701,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,9,1,male,564,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,9,2,male,586,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,9,3,male,627,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,9,4,male,668,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,9,5,male,765,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,9,6,male,834,Mid-eye to fork of tail,1,4,6,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,9,7,male,675,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,9,8,male,485,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,9,9,male,641,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/9/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,9,10,male,560,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/12/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,13,1,male,662,Mid-eye to fork of tail,,,,Regenerated,scale
George River Escapement,2017,7/12/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,13,2,male,598,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/12/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,13,3,male,688,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/12/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,13,4,male,755,Mid-eye to fork of tail,1,4,6,,scale
George River Escapement,2017,7/12/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,13,5,female,696,Mid-eye to fork of tail,1,4,6,,scale
George River Escapement,2017,7/12/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,13,6,female,821,Mid-eye to fork of tail,1,4,6,,scale
George River Escapement,2017,7/12/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,13,7,male,559,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/12/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,13,8,male,563,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/12/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,13,9,male,459,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/12/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,13,10,male,555,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/12/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,14,1,male,669,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/13/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,15,1,male,842,Mid-eye to fork of tail,1,4,6,,scale
George River Escapement,2017,7/13/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,15,2,male,695,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/13/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,15,3,female,828,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/13/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,15,4,male,663,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/13/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,15,5,female,826,Mid-eye to fork of tail,1,4,6,,scale
George River Escapement,2017,7/13/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,15,6,male,587,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/13/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,15,7,female,648,Mid-eye to fork of tail,,3,,"no fresh water age, only salt water",scale
George River Escapement,2017,7/14/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,16,1,male,772,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/14/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,16,2,male,656,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/14/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,16,3,male,468,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/14/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,16,4,female,743,Mid-eye to fork of tail,1,4,6,,scale
George River Escapement,2017,7/14/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,16,5,male,756,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/14/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,16,6,male,772,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/14/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,16,7,female,860,Mid-eye to fork of tail,1,4,6,,scale
George River Escapement,2017,7/14/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,16,8,male,576,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/14/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,16,9,female,829,Mid-eye to fork of tail,1,4,6,,scale
George River Escapement,2017,7/14/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,16,10,female,733,Mid-eye to fork of tail,1,4,6,,scale
George River Escapement,2017,7/14/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,17,1,male,631,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/14/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,17,2,male,642,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/14/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,17,3,male,658,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/14/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,17,4,female,754,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/14/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,17,5,male,505,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/14/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,17,6,male,494,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/14/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,17,7,male,552,Mid-eye to fork of tail,2,2,5,,scale
George River Escapement,2017,7/14/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,17,8,male,685,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/14/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,17,9,male,602,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/14/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,17,10,male,695,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/15/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,18,1,female,773,Mid-eye to fork of tail,1,4,6,,scale
George River Escapement,2017,7/15/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,18,2,female,838,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/15/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,18,3,male,549,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/15/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,18,4,male,935,Mid-eye to fork of tail,1,4,6,,scale
George River Escapement,2017,7/15/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,18,5,male,587,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/15/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,18,6,male,678,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/15/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,18,7,female,844,Mid-eye to fork of tail,1,4,6,,scale
George River Escapement,2017,7/15/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,18,8,male,563,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/15/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,18,9,male,468,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/15/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,18,10,male,770,Mid-eye to fork of tail,1,4,6,,scale
George River Escapement,2017,7/15/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,19,1,male,632,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/15/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,19,2,male,753,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/15/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,19,3,male,663,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/15/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,19,4,male,638,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/15/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,19,5,female,859,Mid-eye to fork of tail,1,4,6,,scale
George River Escapement,2017,7/15/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,19,6,male,701,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/15/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,19,7,male,661,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/15/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,19,8,male,802,Mid-eye to fork of tail,1,4,6,,scale
George River Escapement,2017,7/15/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,19,9,male,521,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/15/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,19,10,male,580,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/15/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,20,1,female,767,Mid-eye to fork of tail,1,4,6,,scale
George River Escapement,2017,7/15/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,20,2,male,475,Mid-eye to fork of tail,2,3,6,,scale
George River Escapement,2017,7/16/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,21,1,female,807,Mid-eye to fork of tail,1,4,6,,scale
George River Escapement,2017,7/16/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,21,2,male,463,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/16/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,21,3,female,758,Mid-eye to fork of tail,1,4,6,,scale
George River Escapement,2017,7/16/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,21,4,male,546,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/16/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,21,5,male,590,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/16/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,21,6,female,829,Mid-eye to fork of tail,1,4,6,,scale
George River Escapement,2017,7/16/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,21,7,male,583,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/16/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,21,8,male,709,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/16/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,21,9,male,611,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/16/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,21,10,male,392,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/16/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,22,1,female,691,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/16/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,22,2,male,674,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/16/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,22,3,female,676,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/16/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,22,4,female,757,Mid-eye to fork of tail,1,4,6,,scale
George River Escapement,2017,7/16/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,22,5,male,623,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/16/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,22,6,male,548,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/16/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,22,7,female,740,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/16/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,22,8,male,578,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/16/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,22,9,male,629,Mid-eye to fork of tail,1,3,5,,scale
