Project,,,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count,Run
Andreafsky River (East Fork) Escapement,,,1988,07/14,Andreafsky River (East Fork),Chinook,24,24,Single Run
Andreafsky River (East Fork) Escapement,,,1988,07/15,Andreafsky River (East Fork),Chinook,51,51,Single Run
Andreafsky River (East Fork) Escapement,,,1988,07/16,Andreafsky River (East Fork),Chinook,12,12,Single Run
Andreafsky River (East Fork) Escapement,,,1988,07/17,Andreafsky River (East Fork),Chinook,12,12,Single Run
Andreafsky River (East Fork) Escapement,,,1988,07/18,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1988,07/19,Andreafsky River (East Fork),Chinook,9,9,Single Run
Andreafsky River (East Fork) Escapement,,,1988,07/20,Andreafsky River (East Fork),Chinook,3,3,Single Run
Andreafsky River (East Fork) Escapement,,,1988,07/21,Andreafsky River (East Fork),Chinook,4,4,Single Run
Andreafsky River (East Fork) Escapement,,,1988,07/22,Andreafsky River (East Fork),Chinook,6,6,Single Run
Andreafsky River (East Fork) Escapement,,,1988,07/23,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1988,07/24,Andreafsky River (East Fork),Chinook,3,3,Single Run
Andreafsky River (East Fork) Escapement,,,1988,07/25,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1994,06/29,Andreafsky River (East Fork),Chinook,1,1,Single Run
Andreafsky River (East Fork) Escapement,,,1994,06/30,Andreafsky River (East Fork),Chinook,188,188,Single Run
Andreafsky River (East Fork) Escapement,,,1994,07/01,Andreafsky River (East Fork),Chinook,141,141,Single Run
Andreafsky River (East Fork) Escapement,,,1994,07/02,Andreafsky River (East Fork),Chinook,54,54,Single Run
Andreafsky River (East Fork) Escapement,,,1994,07/03,Andreafsky River (East Fork),Chinook,222,222,Single Run
Andreafsky River (East Fork) Escapement,,,1994,07/04,Andreafsky River (East Fork),Chinook,156,156,Single Run
Andreafsky River (East Fork) Escapement,,,1994,07/05,Andreafsky River (East Fork),Chinook,651,651,Single Run
Andreafsky River (East Fork) Escapement,,,1994,07/06,Andreafsky River (East Fork),Chinook,225,225,Single Run
Andreafsky River (East Fork) Escapement,,,1994,07/07,Andreafsky River (East Fork),Chinook,1156,1156,Single Run
Andreafsky River (East Fork) Escapement,,,1994,07/08,Andreafsky River (East Fork),Chinook,108,108,Single Run
Andreafsky River (East Fork) Escapement,,,1994,07/09,Andreafsky River (East Fork),Chinook,351,351,Single Run
Andreafsky River (East Fork) Escapement,,,1994,07/10,Andreafsky River (East Fork),Chinook,375,375,Single Run
Andreafsky River (East Fork) Escapement,,,1994,07/11,Andreafsky River (East Fork),Chinook,288,288,Single Run
Andreafsky River (East Fork) Escapement,,,1994,07/12,Andreafsky River (East Fork),Chinook,581,581,Single Run
Andreafsky River (East Fork) Escapement,,,1994,07/13,Andreafsky River (East Fork),Chinook,779,779,Single Run
Andreafsky River (East Fork) Escapement,,,1994,07/14,Andreafsky River (East Fork),Chinook,433,433,Single Run
Andreafsky River (East Fork) Escapement,,,1994,07/15,Andreafsky River (East Fork),Chinook,352,352,Single Run
Andreafsky River (East Fork) Escapement,,,1994,07/16,Andreafsky River (East Fork),Chinook,389,389,Single Run
Andreafsky River (East Fork) Escapement,,,1994,07/17,Andreafsky River (East Fork),Chinook,144,144,Single Run
Andreafsky River (East Fork) Escapement,,,1994,07/18,Andreafsky River (East Fork),Chinook,285,285,Single Run
Andreafsky River (East Fork) Escapement,,,1994,07/19,Andreafsky River (East Fork),Chinook,161,161,Single Run
Andreafsky River (East Fork) Escapement,,,1994,07/20,Andreafsky River (East Fork),Chinook,53,53,Single Run
Andreafsky River (East Fork) Escapement,,,1994,07/21,Andreafsky River (East Fork),Chinook,66,66,Single Run
Andreafsky River (East Fork) Escapement,,,1994,07/22,Andreafsky River (East Fork),Chinook,62,62,Single Run
Andreafsky River (East Fork) Escapement,,,1994,07/23,Andreafsky River (East Fork),Chinook,209,209,Single Run
Andreafsky River (East Fork) Escapement,,,1994,07/24,Andreafsky River (East Fork),Chinook,149,149,Single Run
Andreafsky River (East Fork) Escapement,,,1994,07/25,Andreafsky River (East Fork),Chinook,25,25,Single Run
Andreafsky River (East Fork) Escapement,,,1994,07/26,Andreafsky River (East Fork),Chinook,51,51,Single Run
Andreafsky River (East Fork) Escapement,,,1994,07/27,Andreafsky River (East Fork),Chinook,92,92,Single Run
Andreafsky River (East Fork) Escapement,,,1994,07/28,Andreafsky River (East Fork),Chinook,20,20,Single Run
Andreafsky River (East Fork) Escapement,,,1994,07/29,Andreafsky River (East Fork),Chinook,10,10,Single Run
Andreafsky River (East Fork) Escapement,,,1994,07/30,Andreafsky River (East Fork),Chinook,13,13,Single Run
Andreafsky River (East Fork) Escapement,,,1994,07/31,Andreafsky River (East Fork),Chinook,10,10,Single Run
Andreafsky River (East Fork) Escapement,,,1994,08/01,Andreafsky River (East Fork),Chinook,1,1,Single Run
Andreafsky River (East Fork) Escapement,,,1995,06/16,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1995,06/17,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1995,06/18,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1995,06/19,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1995,06/20,Andreafsky River (East Fork),Chinook,1,1,Single Run
Andreafsky River (East Fork) Escapement,,,1995,06/21,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1995,06/22,Andreafsky River (East Fork),Chinook,1,1,Single Run
Andreafsky River (East Fork) Escapement,,,1995,06/23,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1995,06/24,Andreafsky River (East Fork),Chinook,2,2,Single Run
Andreafsky River (East Fork) Escapement,,,1995,06/25,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1995,06/26,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1995,06/27,Andreafsky River (East Fork),Chinook,41,41,Single Run
Andreafsky River (East Fork) Escapement,,,1995,06/28,Andreafsky River (East Fork),Chinook,48,48,Single Run
Andreafsky River (East Fork) Escapement,,,1995,06/29,Andreafsky River (East Fork),Chinook,67,67,Single Run
Andreafsky River (East Fork) Escapement,,,1995,06/30,Andreafsky River (East Fork),Chinook,104,104,Single Run
Andreafsky River (East Fork) Escapement,,,1995,07/01,Andreafsky River (East Fork),Chinook,81,81,Single Run
Andreafsky River (East Fork) Escapement,,,1995,07/02,Andreafsky River (East Fork),Chinook,71,71,Single Run
Andreafsky River (East Fork) Escapement,,,1995,07/03,Andreafsky River (East Fork),Chinook,17,17,Single Run
Andreafsky River (East Fork) Escapement,,,1995,07/04,Andreafsky River (East Fork),Chinook,55,55,Single Run
Andreafsky River (East Fork) Escapement,,,1995,07/05,Andreafsky River (East Fork),Chinook,107,107,Single Run
Andreafsky River (East Fork) Escapement,,,1995,07/06,Andreafsky River (East Fork),Chinook,678,678,Single Run
Andreafsky River (East Fork) Escapement,,,1995,07/07,Andreafsky River (East Fork),Chinook,433,433,Single Run
Andreafsky River (East Fork) Escapement,,,1995,07/08,Andreafsky River (East Fork),Chinook,155,155,Single Run
Andreafsky River (East Fork) Escapement,,,1995,07/09,Andreafsky River (East Fork),Chinook,260,260,Single Run
Andreafsky River (East Fork) Escapement,,,1995,07/10,Andreafsky River (East Fork),Chinook,250,250,Single Run
Andreafsky River (East Fork) Escapement,,,1995,07/11,Andreafsky River (East Fork),Chinook,382,382,Single Run
Andreafsky River (East Fork) Escapement,,,1995,07/12,Andreafsky River (East Fork),Chinook,1022,1022,Single Run
Andreafsky River (East Fork) Escapement,,,1995,07/13,Andreafsky River (East Fork),Chinook,697,697,Single Run
Andreafsky River (East Fork) Escapement,,,1995,07/14,Andreafsky River (East Fork),Chinook,375,375,Single Run
Andreafsky River (East Fork) Escapement,,,1995,07/15,Andreafsky River (East Fork),Chinook,292,292,Single Run
Andreafsky River (East Fork) Escapement,,,1995,07/16,Andreafsky River (East Fork),Chinook,97,97,Single Run
Andreafsky River (East Fork) Escapement,,,1995,07/17,Andreafsky River (East Fork),Chinook,46,46,Single Run
Andreafsky River (East Fork) Escapement,,,1995,07/18,Andreafsky River (East Fork),Chinook,38,38,Single Run
Andreafsky River (East Fork) Escapement,,,1995,07/19,Andreafsky River (East Fork),Chinook,25,25,Single Run
Andreafsky River (East Fork) Escapement,,,1995,07/20,Andreafsky River (East Fork),Chinook,37,37,Single Run
Andreafsky River (East Fork) Escapement,,,1995,07/21,Andreafsky River (East Fork),Chinook,74,74,Single Run
Andreafsky River (East Fork) Escapement,,,1995,07/22,Andreafsky River (East Fork),Chinook,33,33,Single Run
Andreafsky River (East Fork) Escapement,,,1995,07/23,Andreafsky River (East Fork),Chinook,24,24,Single Run
Andreafsky River (East Fork) Escapement,,,1995,07/24,Andreafsky River (East Fork),Chinook,7,7,Single Run
Andreafsky River (East Fork) Escapement,,,1995,07/25,Andreafsky River (East Fork),Chinook,78,78,Single Run
Andreafsky River (East Fork) Escapement,,,1995,07/26,Andreafsky River (East Fork),Chinook,21,21,Single Run
Andreafsky River (East Fork) Escapement,,,1995,07/27,Andreafsky River (East Fork),Chinook,12,12,Single Run
Andreafsky River (East Fork) Escapement,,,1995,07/28,Andreafsky River (East Fork),Chinook,15,15,Single Run
Andreafsky River (East Fork) Escapement,,,1995,07/29,Andreafsky River (East Fork),Chinook,9,9,Single Run
Andreafsky River (East Fork) Escapement,,,1995,07/30,Andreafsky River (East Fork),Chinook,5,5,Single Run
Andreafsky River (East Fork) Escapement,,,1995,07/31,Andreafsky River (East Fork),Chinook,1,1,Single Run
Andreafsky River (East Fork) Escapement,,,1995,08/01,Andreafsky River (East Fork),Chinook,180,180,Single Run
Andreafsky River (East Fork) Escapement,,,1996,06/19,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1996,06/20,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1996,06/21,Andreafsky River (East Fork),Chinook,10,10,Single Run
Andreafsky River (East Fork) Escapement,,,1996,06/22,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1996,06/23,Andreafsky River (East Fork),Chinook,33,33,Single Run
Andreafsky River (East Fork) Escapement,,,1996,06/24,Andreafsky River (East Fork),Chinook,6,6,Single Run
Andreafsky River (East Fork) Escapement,,,1996,06/25,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1996,06/26,Andreafsky River (East Fork),Chinook,59,59,Single Run
Andreafsky River (East Fork) Escapement,,,1996,06/27,Andreafsky River (East Fork),Chinook,42,42,Single Run
Andreafsky River (East Fork) Escapement,,,1996,06/28,Andreafsky River (East Fork),Chinook,19,19,Single Run
Andreafsky River (East Fork) Escapement,,,1996,06/29,Andreafsky River (East Fork),Chinook,6,6,Single Run
Andreafsky River (East Fork) Escapement,,,1996,06/30,Andreafsky River (East Fork),Chinook,8,8,Single Run
Andreafsky River (East Fork) Escapement,,,1996,07/01,Andreafsky River (East Fork),Chinook,72,72,Single Run
Andreafsky River (East Fork) Escapement,,,1996,07/02,Andreafsky River (East Fork),Chinook,21,21,Single Run
Andreafsky River (East Fork) Escapement,,,1996,07/03,Andreafsky River (East Fork),Chinook,205,205,Single Run
Andreafsky River (East Fork) Escapement,,,1996,07/04,Andreafsky River (East Fork),Chinook,124,124,Single Run
Andreafsky River (East Fork) Escapement,,,1996,07/05,Andreafsky River (East Fork),Chinook,309,309,Single Run
Andreafsky River (East Fork) Escapement,,,1996,07/06,Andreafsky River (East Fork),Chinook,258,258,Single Run
Andreafsky River (East Fork) Escapement,,,1996,07/07,Andreafsky River (East Fork),Chinook,280,280,Single Run
Andreafsky River (East Fork) Escapement,,,1996,07/08,Andreafsky River (East Fork),Chinook,244,244,Single Run
Andreafsky River (East Fork) Escapement,,,1996,07/09,Andreafsky River (East Fork),Chinook,186,186,Single Run
Andreafsky River (East Fork) Escapement,,,1996,07/10,Andreafsky River (East Fork),Chinook,111,111,Single Run
Andreafsky River (East Fork) Escapement,,,1996,07/11,Andreafsky River (East Fork),Chinook,72,72,Single Run
Andreafsky River (East Fork) Escapement,,,1996,07/12,Andreafsky River (East Fork),Chinook,52,52,Single Run
Andreafsky River (East Fork) Escapement,,,1996,07/13,Andreafsky River (East Fork),Chinook,100,100,Single Run
Andreafsky River (East Fork) Escapement,,,1996,07/14,Andreafsky River (East Fork),Chinook,96,96,Single Run
Andreafsky River (East Fork) Escapement,,,1996,07/15,Andreafsky River (East Fork),Chinook,62,62,Single Run
Andreafsky River (East Fork) Escapement,,,1996,07/16,Andreafsky River (East Fork),Chinook,95,95,Single Run
Andreafsky River (East Fork) Escapement,,,1996,07/17,Andreafsky River (East Fork),Chinook,110,110,Single Run
Andreafsky River (East Fork) Escapement,,,1996,07/18,Andreafsky River (East Fork),Chinook,55,55,Single Run
Andreafsky River (East Fork) Escapement,,,1996,07/19,Andreafsky River (East Fork),Chinook,42,42,Single Run
Andreafsky River (East Fork) Escapement,,,1996,07/20,Andreafsky River (East Fork),Chinook,69,69,Single Run
Andreafsky River (East Fork) Escapement,,,1996,07/21,Andreafsky River (East Fork),Chinook,51,51,Single Run
Andreafsky River (East Fork) Escapement,,,1996,07/22,Andreafsky River (East Fork),Chinook,26,26,Single Run
Andreafsky River (East Fork) Escapement,,,1996,07/23,Andreafsky River (East Fork),Chinook,2,2,Single Run
Andreafsky River (East Fork) Escapement,,,1996,07/24,Andreafsky River (East Fork),Chinook,4,4,Single Run
Andreafsky River (East Fork) Escapement,,,1996,07/25,Andreafsky River (East Fork),Chinook,6,6,Single Run
Andreafsky River (East Fork) Escapement,,,1996,07/26,Andreafsky River (East Fork),Chinook,3,3,Single Run
Andreafsky River (East Fork) Escapement,,,1996,07/27,Andreafsky River (East Fork),Chinook,6,6,Single Run
Andreafsky River (East Fork) Escapement,,,1996,07/28,Andreafsky River (East Fork),Chinook,16,16,Single Run
Andreafsky River (East Fork) Escapement,,,1996,07/29,Andreafsky River (East Fork),Chinook,13,13,Single Run
Andreafsky River (East Fork) Escapement,,,1996,07/30,Andreafsky River (East Fork),Chinook,7,7,Single Run
Andreafsky River (East Fork) Escapement,,,1996,07/31,Andreafsky River (East Fork),Chinook,10,10,Single Run
Andreafsky River (East Fork) Escapement,,,1996,08/01,Andreafsky River (East Fork),Chinook,65,65,Single Run
Andreafsky River (East Fork) Escapement,,,1997,06/15,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1997,06/16,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1997,06/17,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1997,06/18,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1997,06/19,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1997,06/20,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1997,06/21,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1997,06/22,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1997,06/23,Andreafsky River (East Fork),Chinook,14,14,Single Run
Andreafsky River (East Fork) Escapement,,,1997,06/24,Andreafsky River (East Fork),Chinook,21,21,Single Run
Andreafsky River (East Fork) Escapement,,,1997,06/25,Andreafsky River (East Fork),Chinook,59,59,Single Run
Andreafsky River (East Fork) Escapement,,,1997,06/26,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1997,06/27,Andreafsky River (East Fork),Chinook,101,101,Single Run
Andreafsky River (East Fork) Escapement,,,1997,06/28,Andreafsky River (East Fork),Chinook,11,11,Single Run
Andreafsky River (East Fork) Escapement,,,1997,06/29,Andreafsky River (East Fork),Chinook,1,1,Single Run
Andreafsky River (East Fork) Escapement,,,1997,06/30,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1997,07/01,Andreafsky River (East Fork),Chinook,75,75,Single Run
Andreafsky River (East Fork) Escapement,,,1997,07/02,Andreafsky River (East Fork),Chinook,24,24,Single Run
Andreafsky River (East Fork) Escapement,,,1997,07/03,Andreafsky River (East Fork),Chinook,29,29,Single Run
Andreafsky River (East Fork) Escapement,,,1997,07/04,Andreafsky River (East Fork),Chinook,49,49,Single Run
Andreafsky River (East Fork) Escapement,,,1997,07/05,Andreafsky River (East Fork),Chinook,98,98,Single Run
Andreafsky River (East Fork) Escapement,,,1997,07/06,Andreafsky River (East Fork),Chinook,356,356,Single Run
Andreafsky River (East Fork) Escapement,,,1997,07/07,Andreafsky River (East Fork),Chinook,227,227,Single Run
Andreafsky River (East Fork) Escapement,,,1997,07/08,Andreafsky River (East Fork),Chinook,123,123,Single Run
Andreafsky River (East Fork) Escapement,,,1997,07/09,Andreafsky River (East Fork),Chinook,49,49,Single Run
Andreafsky River (East Fork) Escapement,,,1997,07/10,Andreafsky River (East Fork),Chinook,64,64,Single Run
Andreafsky River (East Fork) Escapement,,,1997,07/11,Andreafsky River (East Fork),Chinook,69,69,Single Run
Andreafsky River (East Fork) Escapement,,,1997,07/12,Andreafsky River (East Fork),Chinook,88,88,Single Run
Andreafsky River (East Fork) Escapement,,,1997,07/13,Andreafsky River (East Fork),Chinook,15,15,Single Run
Andreafsky River (East Fork) Escapement,,,1997,07/14,Andreafsky River (East Fork),Chinook,16,16,Single Run
Andreafsky River (East Fork) Escapement,,,1997,07/15,Andreafsky River (East Fork),Chinook,124,124,Single Run
Andreafsky River (East Fork) Escapement,,,1997,07/16,Andreafsky River (East Fork),Chinook,274,274,Single Run
Andreafsky River (East Fork) Escapement,,,1997,07/17,Andreafsky River (East Fork),Chinook,91,91,Single Run
Andreafsky River (East Fork) Escapement,,,1997,07/18,Andreafsky River (East Fork),Chinook,25,25,Single Run
Andreafsky River (East Fork) Escapement,,,1997,07/19,Andreafsky River (East Fork),Chinook,70,70,Single Run
Andreafsky River (East Fork) Escapement,,,1997,07/20,Andreafsky River (East Fork),Chinook,264,264,Single Run
Andreafsky River (East Fork) Escapement,,,1997,07/21,Andreafsky River (East Fork),Chinook,148,148,Single Run
Andreafsky River (East Fork) Escapement,,,1997,07/22,Andreafsky River (East Fork),Chinook,35,35,Single Run
Andreafsky River (East Fork) Escapement,,,1997,07/23,Andreafsky River (East Fork),Chinook,103,103,Single Run
Andreafsky River (East Fork) Escapement,,,1997,07/24,Andreafsky River (East Fork),Chinook,57,57,Single Run
Andreafsky River (East Fork) Escapement,,,1997,07/25,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1997,07/26,Andreafsky River (East Fork),Chinook,11,11,Single Run
Andreafsky River (East Fork) Escapement,,,1997,07/27,Andreafsky River (East Fork),Chinook,3,3,Single Run
Andreafsky River (East Fork) Escapement,,,1997,07/28,Andreafsky River (East Fork),Chinook,29,29,Single Run
Andreafsky River (East Fork) Escapement,,,1997,07/29,Andreafsky River (East Fork),Chinook,58,58,Single Run
Andreafsky River (East Fork) Escapement,,,1997,07/30,Andreafsky River (East Fork),Chinook,144,144,Single Run
